,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
175,HS,2020,202002,February 2020,2,0,2,Exports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,16695843,,,0
176,HS,2020,202003,March 2020,2,0,1,Imports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,46534274,,,0
177,HS,2020,202003,March 2020,2,0,2,Exports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,18244460,,,0
178,HS,2020,202004,April 2020,2,0,1,Imports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,48423866,,,0
179,HS,2020,202004,April 2020,2,0,2,Exports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,12293578,,,0
180,HS,2020,202005,May 2020,2,0,1,Imports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,48068683,,,0
181,HS,2020,202005,May 2020,2,0,2,Exports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,11931968,,,0
182,HS,2020,202006,June 2020,2,0,1,Imports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,50897561,,,0
183,HS,2020,202006,June 2020,2,0,2,Exports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,14844103,,,0
184,HS,2020,202007,July 2020,2,0,1,Imports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,60127033,,,0
185,HS,2020,202007,July 2020,2,0,2,Exports,191,Croatia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,15814457,,,0
186,HS,2020,202001,January 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,481247491,,,0
187,HS,2020,202001,January 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,337623725,,,0
188,HS,2020,202002,February 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,449439881,,,0
189,HS,2020,202002,February 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,321944454,,,0
190,HS,2020,202003,March 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,439698871,,,0
191,HS,2020,202003,March 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,335147077,,,0
192,HS,2020,202004,April 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,341917832,,,0
193,HS,2020,202004,April 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,255855545,,,0
194,HS,2020,202005,May 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,342972340,,,0
195,HS,2020,202005,May 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,248031798,,,0
196,HS,2020,202006,June 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,382798903,,,0
197,HS,2020,202006,June 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,267999680,,,0
198,HS,2020,202007,July 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,384505549,,,0
199,HS,2020,202007,July 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,267287768,,,0
200,HS,2020,202008,August 2020,2,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,388010702,,,0
201,HS,2020,202008,August 2020,2,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,263462268,,,0
202,HS,2020,202001,January 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,172890699,,,0
203,HS,2020,202001,January 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,114605146,,,0
204,HS,2020,202002,February 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,179240607,,,0
205,HS,2020,202002,February 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,110927230,,,0
206,HS,2020,202003,March 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,164603707,,,0
207,HS,2020,202003,March 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,123146146,,,0
208,HS,2020,202004,April 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,155000401,,,0
209,HS,2020,202004,April 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,94222453,,,0
210,HS,2020,202005,May 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,161281172,,,0
211,HS,2020,202005,May 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,94344694,,,0
212,HS,2020,202006,June 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,146597553,,,0
213,HS,2020,202006,June 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,98619167,,,0
214,HS,2020,202007,July 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,106720174,,,0
215,HS,2020,202007,July 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,63299510,,,0
216,HS,2020,202008,August 2020,2,0,1,Imports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,143119880,,,0
217,HS,2020,202008,August 2020,2,0,2,Exports,208,Denmark,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,84031238,,,0
218,HS,2020,202001,January 2020,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,58412193,,,0
219,HS,2020,202001,January 2020,2,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1224028,,,0
220,HS,2020,202002,February 2020,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,36802553,,,0
221,HS,2020,202002,February 2020,2,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2173105,,,0
222,HS,2020,202003,March 2020,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,45912944,,,0
223,HS,2020,202003,March 2020,2,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1899385,,,0
224,HS,2020,202005,May 2020,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,43938611,,,0
225,HS,2020,202005,May 2020,2,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1272800,,,0
226,HS,2020,202006,June 2020,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,50861112,,,0
227,HS,2020,202006,June 2020,2,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,798217,,,0
228,HS,2020,202007,July 2020,2,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,38225589,,,0
229,HS,2020,202007,July 2020,2,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1333336,,,0
230,HS,2020,202001,January 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,30440565,,,0
231,HS,2020,202001,January 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,11939650,,,0
232,HS,2020,202002,February 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,25869958,,,0
233,HS,2020,202002,February 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,10071234,,,0
234,HS,2020,202003,March 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,32866856,,,0
235,HS,2020,202003,March 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,7741071,,,0
236,HS,2020,202004,April 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,13184255,,,0
237,HS,2020,202004,April 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4944386,,,0
238,HS,2020,202005,May 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,19604821,,,0
239,HS,2020,202005,May 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,8193227,,,0
240,HS,2020,202006,June 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,19970073,,,0
241,HS,2020,202006,June 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,8184127,,,0
242,HS,2020,202007,July 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,14071759,,,0
243,HS,2020,202007,July 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,8665029,,,0
244,HS,2020,202008,August 2020,2,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,20282361,,,0
245,HS,2020,202008,August 2020,2,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,8760396,,,0
246,HS,2020,202001,January 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,47171395,,,0
247,HS,2020,202001,January 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,25173331,,,0
248,HS,2020,202001,January 2020,2,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2587,,,0
249,HS,2020,202002,February 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,43045395,,,0
250,HS,2020,202002,February 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,28351416,,,0
251,HS,2020,202002,February 2020,2,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,636,,,0
252,HS,2020,202003,March 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,49836549,,,0
253,HS,2020,202003,March 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,23605155,,,0
254,HS,2020,202003,March 2020,2,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,189,,,0
255,HS,2020,202004,April 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,47612304,,,0
256,HS,2020,202004,April 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,21789360,,,0
257,HS,2020,202005,May 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,30868461,,,0
258,HS,2020,202005,May 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,22938215,,,0
259,HS,2020,202005,May 2020,2,0,3,Re-exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,22826454,,,0
260,HS,2020,202006,June 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,34367934,,,0
261,HS,2020,202006,June 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,20793567,,,0
262,HS,2020,202006,June 2020,2,0,3,Re-exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,20711380,,,0
263,HS,2020,202006,June 2020,2,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,13180,,,0
264,HS,2020,202007,July 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,43716496,,,0
265,HS,2020,202007,July 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,27440404,,,0
266,HS,2020,202007,July 2020,2,0,3,Re-exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,27336188,,,0
267,HS,2020,202007,July 2020,2,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,223,,,0
268,HS,2020,202008,August 2020,2,0,1,Imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,44945025,,,0
269,HS,2020,202008,August 2020,2,0,2,Exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,18113739,,,0
270,HS,2020,202008,August 2020,2,0,3,Re-exports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,18113739,,,0
271,HS,2020,202008,August 2020,2,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,17340,,,0
272,HS,2020,202001,January 2020,2,0,1,Imports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,206237799,,,0
273,HS,2020,202001,January 2020,2,0,2,Exports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,387683665,,,0
274,HS,2020,202002,February 2020,2,0,1,Imports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,191557823,,,0
275,HS,2020,202002,February 2020,2,0,2,Exports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,340293799,,,0
276,HS,2020,202003,March 2020,2,0,1,Imports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,184554917,,,0
277,HS,2020,202003,March 2020,2,0,2,Exports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,388287562,,,0
278,HS,2020,202004,April 2020,2,0,1,Imports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,181691198,,,0
279,HS,2020,202004,April 2020,2,0,2,Exports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,305620504,,,0
280,HS,2020,202005,May 2020,2,0,1,Imports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,180545334,,,0
281,HS,2020,202005,May 2020,2,0,2,Exports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,306540128,,,0
282,HS,2020,202006,June 2020,2,0,1,Imports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,184798528,,,0
283,HS,2020,202006,June 2020,2,0,2,Exports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,279334361,,,0
284,HS,2020,202007,July 2020,2,0,1,Imports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,182707570,,,0
285,HS,2020,202007,July 2020,2,0,2,Exports,246,Finland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,255893861,,,0
286,HS,2020,202001,January 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,15551878,,,0
287,HS,2020,202001,January 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,19221091,,,0
288,HS,2020,202001,January 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,201759,,,0
289,HS,2020,202002,February 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,12893362,,,0
290,HS,2020,202002,February 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,29706618,,,0
291,HS,2020,202002,February 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,352352,,,0
292,HS,2020,202002,February 2020,2,0,4,Re-imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,14580,,,0
293,HS,2020,202003,March 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,18075788,,,0
294,HS,2020,202003,March 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,19667471,,,0
295,HS,2020,202003,March 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,245655,,,0
296,HS,2020,202004,April 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,12387608,,,0
297,HS,2020,202004,April 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,35609175,,,0
298,HS,2020,202004,April 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,212870,,,0
299,HS,2020,202005,May 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,14340602,,,0
300,HS,2020,202005,May 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,18153899,,,0
301,HS,2020,202005,May 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,380713,,,0
302,HS,2020,202006,June 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,11955206,,,0
303,HS,2020,202006,June 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,10456923,,,0
304,HS,2020,202006,June 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,280891,,,0
305,HS,2020,202007,July 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,20110157,,,0
306,HS,2020,202007,July 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,13237433,,,0
307,HS,2020,202007,July 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,186376,,,0
308,HS,2020,202008,August 2020,2,0,1,Imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,18086592,,,0
309,HS,2020,202008,August 2020,2,0,2,Exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,17785877,,,0
310,HS,2020,202008,August 2020,2,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,103830,,,0
311,HS,2020,202008,August 2020,2,0,4,Re-imports,268,Georgia,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,41340,,,0
312,HS,2020,202001,January 2020,2,0,1,Imports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2019104850,,,0
313,HS,2020,202001,January 2020,2,0,2,Exports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2045215110,,,0
314,HS,2020,202002,February 2020,2,0,1,Imports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2063462584,,,0
315,HS,2020,202002,February 2020,2,0,2,Exports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2061454052,,,0
316,HS,2020,202003,March 2020,2,0,1,Imports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2049588248,,,0
317,HS,2020,202003,March 2020,2,0,2,Exports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2052751334,,,0
318,HS,2020,202004,April 2020,2,0,1,Imports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1561393853,,,0
319,HS,2020,202004,April 2020,2,0,2,Exports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1413070331,,,0
320,HS,2020,202005,May 2020,2,0,1,Imports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1541819071,,,0
321,HS,2020,202005,May 2020,2,0,2,Exports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1474177337,,,0
322,HS,2020,202006,June 2020,2,0,1,Imports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,1640793632,,,0
323,HS,2020,202006,June 2020,2,0,2,Exports,276,Germany,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1648598682,,,0
324,HS,2020,202001,January 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,93298410,,,0
325,HS,2020,202001,January 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,45834757,,,0
326,HS,2020,202002,February 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,76062768,,,0
327,HS,2020,202002,February 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,53921116,,,0
328,HS,2020,202003,March 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,95860725,,,0
329,HS,2020,202003,March 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,42621154,,,0
330,HS,2020,202004,April 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,79844837,,,0
331,HS,2020,202004,April 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,24384590,,,0
332,HS,2020,202005,May 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,85637420,,,0
333,HS,2020,202005,May 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,33999031,,,0
334,HS,2020,202006,June 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,93494818,,,0
335,HS,2020,202006,June 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,43686050,,,0
336,HS,2020,202007,July 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,106569499,,,0
337,HS,2020,202007,July 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,50496228,,,0
338,HS,2020,202008,August 2020,2,0,1,Imports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,69006055,,,0
339,HS,2020,202008,August 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,22808988,,,0
340,HS,2020,202001,January 2020,2,0,1,Imports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,78109080,,,0
341,HS,2020,202001,January 2020,2,0,2,Exports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,56437886,,,0
342,HS,2020,202002,February 2020,2,0,1,Imports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,63796248,,,0
343,HS,2020,202002,February 2020,2,0,2,Exports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,31593877,,,0
344,HS,2020,202003,March 2020,2,0,1,Imports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,70649563,,,0
345,HS,2020,202003,March 2020,2,0,2,Exports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,27149570,,,0
346,HS,2020,202004,April 2020,2,0,1,Imports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,60349352,,,0
347,HS,2020,202004,April 2020,2,0,2,Exports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,32971257,,,0
348,HS,2020,202005,May 2020,2,0,1,Imports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,55900926,,,0
349,HS,2020,202005,May 2020,2,0,2,Exports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,28425447,,,0
350,HS,2020,202006,June 2020,2,0,1,Imports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,37219890,,,0
351,HS,2020,202006,June 2020,2,0,2,Exports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,21272924,,,0
352,HS,2020,202007,July 2020,2,0,1,Imports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,50460553,,,0
353,HS,2020,202007,July 2020,2,0,2,Exports,320,Guatemala,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,32868154,,,0
354,HS,2020,202001,January 2020,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4869424,,,0
355,HS,2020,202001,January 2020,2,0,2,Exports,328,Guyana,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,160314,,,0
356,HS,2020,202002,February 2020,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,3611798,,,0
357,HS,2020,202002,February 2020,2,0,2,Exports,328,Guyana,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,275400,,,0
358,HS,2020,202002,February 2020,2,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,30481,,,0
359,HS,2020,202003,March 2020,2,0,1,Imports,328,Guyana,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2425056,,,0
