,Reporter,Year,Period,Aggregate Level,Is Leaf Code,Trade Flow Code,Reporter Code,Reporter ISO,Partner Code,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
65,New Zealand,18171,1817145,18,0,9,4986,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266215317,0.0,0.0,0
66,Norway,18171,1817145,18,0,9,5211,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668758712,0.0,0.0,0
67,Pakistan,18171,1817145,18,0,9,5274,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2346122000,0.0,0.0,0
68,Palau,6057,605706,6,0,3,1755,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869707,0.0,0.0,0
69,Paraguay,18171,1817145,18,0,9,5400,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190560124,0.0,0.0,0
70,Peru,18171,1817145,18,0,9,5436,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150318106,0.0,0.0,0
71,Philippines,16152,1615239,16,0,8,4864,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769941750,0.0,0.0,0
72,Poland,18171,1817145,18,0,9,5544,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7181601817,0.0,0.0,0
73,Portugal,18171,1817145,18,0,9,5580,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2163572190,0.0,0.0,0
74,Qatar,18171,1817145,18,0,9,5706,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290446681,0.0,0.0,0
75,Rep. of Korea,18171,1817145,18,0,9,3690,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12134247134,0.0,0.0,0
76,Rep. of Moldova,18171,1817145,18,0,9,4482,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78037143,0.0,0.0,0
77,Romania,18171,1817145,18,0,9,5778,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420108016,0.0,0.0,0
78,Russian Federation,18171,1817145,18,0,9,5787,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900255064,0.0,0.0,0
79,Rwanda,18171,1817145,18,0,9,5814,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77951945,0.0,0.0,0
80,Sao Tome and Principe,18171,1817145,18,0,9,6102,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677676,0.0,0.0,0
81,Senegal,18171,1817145,18,0,9,6174,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241249332,0.0,0.0,0
82,Serbia,18171,1817145,18,0,9,6192,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495452014,0.0,0.0,0
83,Seychelles,18171,1817145,18,0,9,6210,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17805718,0.0,0.0,0
84,Singapore,18171,1817145,18,0,9,6318,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971765821,0.0,0.0,0
85,Slovakia,18171,1817145,18,0,9,6327,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021668249,0.0,0.0,0
86,Slovenia,18171,1817145,18,0,9,6345,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191366031,0.0,0.0,0
87,South Africa,18171,1817145,18,0,9,6390,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896847522,0.0,0.0,0
88,Spain,18171,1817145,18,0,9,6516,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7559902098,0.0,0.0,0
89,Swaziland,18171,1817145,18,0,9,6732,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19605157,0.0,0.0,0
90,Sweden,18171,1817145,18,0,9,6768,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3468605602,0.0,0.0,0
91,Switzerland,18171,1817145,18,0,9,6813,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933665703,0.0,0.0,0
92,TFYR of Macedonia,18171,1817145,18,0,9,7263,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386638862,0.0,0.0,0
93,Thailand,4038,403803,4,0,2,1528,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020455310,0.0,0.0,0
94,Togo,18171,1817145,18,0,9,6912,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66610977,0.0,0.0,0
95,Turkey,18171,1817145,18,0,9,7128,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11402705681,0.0,0.0,0
96,Uganda,6057,605706,6,0,3,2400,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83307687,0.0,0.0,0
97,Ukraine,12114,1211430,12,0,6,4824,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633563965,0.0,0.0,0
98,United Kingdom,18171,1817145,18,0,9,7434,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4673316997,0.0,0.0,0
99,United States of America,18171,1817145,18,0,9,7578,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19673067448,0.0,0.0,0
100,Uruguay,2019,201901,2,0,1,858,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8375801,0.0,0.0,0
101,Yemen,18171,1817145,18,0,9,7983,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140250304,0.0,0.0,0
102,Zambia,18171,1817145,18,0,9,8046,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144546414,0.0,0.0,0
103,Zimbabwe,18171,1817145,18,0,9,6444,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82117091,0.0,0.0,0
